문제 번호,영문 문제 내용,한국어 문제 내용,문제의 답,문제의 해설
53,"A company is implementing a growth strategy by constructing a new production facility, which will soon move into the operation phase. Although a governance policy was already in place, the company must comply with new nancial regulations that have been recently implemented. Compliance with the regulations will cause a major change in project scope. How should the project manager respond to this requirement? A. Perform an analysis to assess the Impact on the project. B. Proceed with the existing company governance policy. C. Escalate the issue to upper management and let them decide. D. Directly comply with the nancial regulations.",새로운 금융 규정 준수로 인해 프로젝트 범위에 큰 변경이 발생할 것으로 예상됩니다. 프로젝트 매니저는 이러한 요구사항에 어떻게 대응해야 합니까? A. 프로젝트에 미치는 영향을 평가하기 위한 분석을 수행한다. B. 기존 회사 거버넌스 정책을 따라 진행한다. C. 문제를 상부 경영진에게 보고하고 결정을 맡긴다. D. 금융 규정을 즉시 준수한다.,A. 프로젝트에 미치는 영향을 평가하기 위한 분석을 수행한다.,"PMBOK 에서는 변경 사항 발생 시 가장 먼저 영향도 분석을 수행해야 한다고 명시하고 있습니다. 새로운 규정 준수는 프로젝트 범위에 큰 변경을 초래하므로, 변경의 영향(일정, 비용, 품질, 자원 등)을 분석하는 것이 우선되어야 합니다. 분석 결과를 토대로 변경 관리 절차를 진행하고 필요시 상부 경영진의 승인을 받아야 합니다.  기존 정책 고수 또는 즉시 준수는 변경의 영향을 고려하지 않은 대응이며, 상부 경영진에게 보고 후 결정을 맡기는 것은 영향 분석 없이 책임을 회피하는 행위입니다. 따라서 프로젝트 매니저는 먼저 변경의 영향을 분석해야 합니다."
54,"A project manager has been assigned to an emergency project that must be completed within the next few weeks. The project manager realizes this will have an impact on the local community. As the work is near a school, the project manager has engaged with them to understand their needs. How should the project manager ensure the work continues smoothly? A. Postpone the required work on the project until school holidays begin B. Continue the work as planned and inform the school when the project team arrives on-site C. Advise the school to close for the duration of the project work D. Liaise with the school to include nonworking project hours during school start and nish times",프로젝트 매니저는 향후 몇 주 안에 완료해야 하는 긴급 프로젝트에 배정되었습니다. 프로젝트 매니저는 이 프로젝트가 지역 사회에 영향을 미칠 것임을 인지하고 있습니다. 작업 현장이 학교 근처에 있기 때문에 프로젝트 매니저는 학교 측과 소통하여 그들의 요구사항을 파악했습니다. 프로젝트 매니저는 어떻게 작업을 원활하게 진행할 수 있을까요? A. 학교 방학이 시작될 때까지 프로젝트에 필요한 작업을 연기한다 B. 계획대로 작업을 계속하고 프로젝트 팀이 현장에 도착하면 학교에 알린다 C. 프로젝트 작업 기간 동안 학교를 폐쇄하도록 권고한다 D. 학교와 연락하여 등교 및 하교 시간 동안 프로젝트 비작업 시간을 포함한다,D,"이해관계자 관리의 중요성을 묻는 문제입니다. 학교는 이 프로젝트의 중요한 이해관계자이며, 프로젝트 매니저는 학교의 요구를 고려하여 프로젝트를 진행해야 합니다. D처럼 학교와 협력하여 등하교 시간을 피해 작업함으로써 학교 운영에 대한 영향을 최소화하고 원활한 관계를 유지하며 프로젝트를 성공적으로 완료할 수 있습니다.  A는 긴급 프로젝트의 특성상 적합하지 않고, B와 C는 학교 측에 일방적인 통보 및 요구를 하는 것이므로 적절한 이해관계자 관리 방안이 아닙니다."
55,It is late at night on a weekend when a team member calls the project manager on the telephone. The team member is crying about the pressures of an upcoming deadline. What should the project manager do? A. Review the organization's human resources (HR) policy. B. Empathize with the team member and discuss next steps. C. Ask the team member to send their concerns in writing. D. Schedule a meeting with the team member for the next work day.,프로젝트 팀원이 주말 늦은 밤에 프로젝트 매니저에게 전화를 걸어 곧 다가올 마감일의 압박에 대해 울면서 이야기합니다. 프로젝트 매니저는 어떻게 해야 합니까? A. 조직의 인사(HR) 정책을 검토합니다. B. 팀원에게 공감하고 다음 단계에 대해 논의합니다. C. 팀원에게 우려 사항을 서면으로 보내달라고 요청합니다. D. 다음 근무일에 팀원과 미팅을 예약합니다.,B,"팀원이 스트레스를 받는 상황에서 가장 중요한 것은 공감과 지원입니다.  PMBOK에서 강조하는 리더십 기술 중 하나는 팀원의 감정을 이해하고 지지하는 것입니다.  B는 팀원의 어려움을 인정하고 함께 해결책을 찾는 데 중점을 두므로 가장 적절한 대응입니다.  다음 단계 논의는 팀원에게 심리적 안정을 제공하고 문제 해결을 위한 협력적인 환경을 조성합니다.  A, C, D는 상황의 심각성을 고려했을 때 적절한 즉각적인 대응이 아닙니다."
56,"A team is having a hard time completing work due to unclear requirements. They have not been able to complete an iteration successfully in several months. In order to help the team, what should the project leader do? A. Recommend that the team reviews the length of the iteration with the stakeholders. B. Recommend that the product owner reviews the backlog renement processes. C. Recommend limiting the work in progress to improve the team's focus. D. Recommend a review of the team members' individual performances.","프로젝트 팀이 요구사항이 명확하지 않아 작업 완료에 어려움을 겪고 있으며, 여러 달 동안 한 번도 반복 주기를 성공적으로 완료하지 못했습니다. 팀을 돕기 위해 프로젝트 리더는 무엇을 해야 합니까? A. 팀이 이해관계자와 함께 반복 주기의 길이를 검토하도록 권장합니다. B. 제품 책임자가 백로그 개선 프로세스를 검토하도록 권장합니다. C. 팀의 집중도 향상을 위해 진행 중인 작업을 제한하도록 권장합니다. D. 팀 구성원의 개별 성과 검토를 권장합니다.",B,"요구사항이 명확하지 않다는 것은 백로그 개선 프로세스에 문제가 있음을 나타냅니다. 제품 책임자는 백로그 개선 프로세스를 담당하며, 이 프로세스를 통해 사용자 스토리가 명확하고 실행 가능하며 테스트 가능한 상태가 되도록 보장해야 합니다. 따라서 프로젝트 리더는 제품 책임자에게 백로그 개선 프로세스를 검토하도록 권장하여 요구사항의 명확성을 개선하고 팀의 성과를 향상시켜야 합니다. 이는 PMBOK에서 다루는 요구사항 관리 및 스크럼 프레임워크의 핵심 요소입니다."
57,A project manager for an agile project is concerned that the team has been losing momentum over the last iterations. Which two tools should the project manager use to analyze team performance? (Choose two.) A. Burndown chart B. Product backlog burnup chart C. Cumulative ow diagram of completed features D. Work breakdown structure (WBS) E. Project schedule,"프로젝트 매니저는 애자일 프로젝트 팀의 최근 반복 주기 동안 모멘텀이 떨어지고 있다는 점을 우려하고 있습니다. 팀 성과 분석을 위해 프로젝트 매니저가 사용해야 할 두 가지 도구는 무엇입니까? (두 개 선택) A. 번다운 차트 B. 제품 백로그 번업 차트 C. 완료된 기능의 누적 흐름 다이어그램 D. 작업 분류 체계(WBS) , B","A, C","번다운 차트는 남은 작업량을 보여주어 팀의 속도와 프로젝트 진행 상황을 추적하는 데 도움이 됩니다. 제품 백로그 번업 차트는 완료된 작업량을 보여주어 팀의 생산성과 범위 변경을 파악하는 데 도움이 됩니다. 이 두 가지 차트는 애자일 환경에서 팀 성과를 분석하는 데 중요한 도구입니다. 누적 흐름 다이어그램은 병목 현상을 식별하는 데 유용하지만, 팀의 전반적인 모멘텀 분석에는 번다운/번업 차트가 더 직접적입니다. WBS와 프로젝트 일정은 전통적인 프로젝트 관리 도구이며 애자일 환경에서 팀 성과 분석에 적합하지 않습니다."
58,"A project manager is working with the team to deliver a project in a company that uses different delivery methods. The project manager is concerned about the communication channels currently suggested by the project management oce (PMO) because some information is taking too much time to reach the team members, causing negative consequences for delivery. How should the project manager avoid this situation in the future? A. Agree with the project team on a suitable collaboration and make sure information is shared at all times. B. Use the same methods until the end of the current delivery and suggest new ones during the retrospective. C. Refer to the policies and frameworks used at the company enterprise level and inform the project team members. D. Tell the sponsor that the project manager will use their own communication model to ensure on-time delivery.",프로젝트 매니저는 다양한 전달 방식을 사용하는 회사에서 팀과 함께 프로젝트를 진행하고 있습니다. 프로젝트 매니저는 일부 정보가 팀원에게 전달되는 데 너무 오랜 시간이 걸려 전달에 부정적인 영향을 미치고 있기 때문에 현재 프로젝트 관리 사무소(PMO)에서 제안한 소통 채널에 대해 우려하고 있습니다. 향후 이러한 상황을 방지하기 위해 프로젝트 매니저는 어떻게 해야 합니까? A. 프로젝트 팀과 적절한 협업 방식에 동의하고 정보가 항상 공유되도록 합니다. B. 현재 전달 방식이 끝날 때까지 동일한 방법을 사용하고 회고 중에 새로운 방법을 제안합니다. C. 회사 엔터프라이즈 수준에서 사용되는 정책 및 프레임워크를 참조하고 프로젝트 팀원에게 알립니다. D. 스폰서에게 프로젝트 매니저가 적시 납품을 위해 자체 소통 모델을 사용할 것이라고 전달합니다.,A,"효과적인 의사소통은 프로젝트 성공의 핵심 요소입니다. PMBOK 가이드에 따르면 프로젝트 매니저는 팀과 함께 가장 효율적인 소통 방식을 결정하고 정보가 투명하게 공유되도록 해야 합니다. A는 팀과의 협업과 정보 공유를 강조하며, 이는 프로젝트 관리에서의 소통 관리의 중요성을 잘 보여줍니다.  B는 문제 해결을 뒤로 미루는 것이고, C는 회사 정책을 참조하는 것이 도움이 될 수 있지만 팀과의 합의가 더 중요하며, D는 스폰서와의 관계 악화 가능성이 있고 PMO와의 협업을 저해할 수 있습니다. 따라서 프로젝트 팀과의 협업 및 정보 공유에 초점을 맞춘 A가 가장 적절한 답변입니다."
59,"A company must implement a new regulation. The government has specied the date when the regulation will be enforced but has only provided high-level information on the regulation's requirements. Therefore, changes in denitions are to be expected due to uncertainty. Which life cycle should the project manager use for this project? A. A predictive execution strategy B. An iterative execution strategy C. An agile execution strategy D. A hybrid execution strategy",프로젝트 매니저는 새로운 규정을 실행해야 합니다. 정부는 규정 시행일을 명시했지만 규정 요구사항에 대한 개략적인 정보만 제공했습니다. 따라서 불확실성으로 인해 정의 변경이 예상됩니다. 프로젝트 매니저는 이 프로젝트에 어떤 라이프 사이클을 사용해야 합니까? A. 예측형 실행 전략 B. 반복형 실행 전략 C. 애자일 실행 전략 D. 하이브리드 실행 전략,C,"정부 규정의 요구사항이 불확실하고 변경될 가능성이 높기 때문에 애자일 실행 전략이 가장 적합합니다. 애자일 방법론은 변경 사항을 수용하고 반복적인 개발 주기를 통해 불확실성을 관리하도록 설계되었습니다. 예측형 전략은 요구사항이 명확하게 정의된 프로젝트에 적합하지만, 이 경우처럼 불확실성이 높은 상황에는 적합하지 않습니다. 반복형 전략은 애자일과 유사한 측면이 있지만, 애자일만큼 변경에 대한 유연성을 제공하지는 않습니다. 하이브리드 전략은 예측형과 애자일을 결합한 것이지만, 이 상황에서는 애자일의 유연성이 가장 중요한 요소이므로 순수 애자일 접근 방식이 더 적합합니다.  즉, 애자일은 요구사항의 변경이 예상되는 상황에서 불확실성을 관리하고 가치를 제공하는 데 가장 효과적인 방법입니다."
60,"A project manager is managing a project that has a new sponsor who is cutting the budget. As a servant leader, how should the project manager handle the budget cuts with the team? A. Notify the project sponsor that the budget reduction will require a schedule slip and scope reduction. B. Collaborate with the team to assess the impact of the change on the project and recommend an updated project plan. C. Inform each team member that they must release a portion of their budget but must remain on schedule with no change to the scope. D. Meet with the schedule coordinator and nancial analyst to tell them which budget lines to reduce and where to release slack.",프로젝트 매니저는 예산을 삭감하는 새로운 스폰서가 있는 프로젝트를 관리하고 있습니다. 서번트 리더로서 프로젝트 매니저는 팀과 함께 예산 삭감을 어떻게 처리해야 합니까? A. 예산 삭감으로 인해 일정 지연 및 범위 축소가 필요함을 프로젝트 스폰서에게 알립니다. B. 변경 사항이 프로젝트에 미치는 영향을 평가하고 업데이트된 프로젝트 계획을 권장하기 위해 팀과 협력합니다. C. 각 팀원에게 예산의 일부를 해제해야 하지만 일정 변경 없이 범위를 유지해야 함을 알립니다. D. 일정 코디네이터 및 재무 분석가와 만나 어떤 예산 항목을 줄이고 어디에서 여유 시간을 확보할지 알려줍니다.,B,"서번트 리더십은 팀의 참여와 협력을 중시합니다. 예산 삭감과 같은 중요한 변경 사항이 발생했을 때, 서번트 리더는 팀과 함께 변경 사항의 영향을 평가하고 해결책을 찾아야 합니다. B 옵션은 팀과 협력하여 변경 사항의 영향을 평가하고 업데이트된 프로젝트 계획을 권장하는 것을 제시하며, 이는 서번트 리더십의 원칙과 일치합니다.  A는 스폰서에게 통보만 하는 것이고, C는 팀원에게 일방적으로 지시하는 것이며, D는 팀의 의견을 배제하고 소수의 인원과 결정하는 것이므로 서번트 리더십과 맞지 않습니다.  따라서 팀과 협력하여 문제 해결에 참여하도록 하는 B가 가장 적절한 답변입니다."
61,A project manager has completed an assessment of the project team's performance. Some team members have performed poorly on their assigned tasks. What should the project manager do? A. Create a new standard performance measure based on project requirements B. Develop different approaches based on team members' motivation and ability C. Develop a standard approach to provide feedback to all team members D. Provide intensive oversight to the team members who performed poorly,프로젝트 매니저는 프로젝트 팀의 성과 평가를 완료했습니다. 일부 팀원은 할당된 작업에서 성과가 좋지 않았습니다. 프로젝트 매니저는 무엇을 해야 합니까? A. 프로젝트 요구사항에 따라 새로운 성과 측정 기준을 만듭니다. B. 팀원의 동기와 능력에 따라 다른 접근 방식을 개발합니다. C. 모든 팀원에게 피드백을 제공하기 위한 표준 접근 방식을 개발합니다. D. 성과가 좋지 않은 팀원에게 집중적인 감독을 제공합니다.,B,"팀원의 성과가 좋지 않을 때는 상황적 리더십 이론에 따라 팀원의 역량과 의지에 맞는 리더십 스타일을 적용해야 합니다.  문제에서 언급된 상황은 팀원의 능력과 동기 부여 수준을 파악하고 그에 맞는 적절한 접근 방식을 개발해야 함을 시사합니다.  단순히 새로운 기준을 만들거나 모든 팀원에게 동일한 피드백을 제공하는 것, 또는 성과가 낮은 팀원에게 집중적인 감독을 제공하는 것은 상황적 리더십 이론에 부합하지 않으며, 오히려 팀원의 동기 부여를 저하시키거나 문제 해결에 효과적이지 않을 수 있습니다. 따라서 팀원의 동기와 능력에 따라 다른 접근 방식을 개발하는 것이 가장 적절한 조치입니다."
62,"An agile team has released the second version of its product, but the feedback is that the software has many bugs that compromise the user experience. What should the project manager do? A. Hire an external consultancy rm to focus on testing and quality control to avoid the issue in the future B. Propose an internal program that offers incentives for the team members who nd and x bugs C. Closely evaluate the skill set of the team, looking for technical gaps that need to be led in order to improve quality D. Facilitate the next retrospective meeting, focusing the team on analyzing root causes and proposing solutions","프로젝트 팀은 두 번째 버전의 제품을 출시했지만, 사용자 경험을 저해하는 많은 버그가 있다는 피드백을 받았습니다. 프로젝트 관리자는 어떻게 해야 합니까? A. 향후 이러한 문제를 방지하기 위해 테스트 및 품질 관리에 집중할 외부 컨설팅 회사를 고용한다. B. 버그를 찾고 수정하는 팀원에게 인센티브를 제공하는 내부 프로그램을 제안한다. C. 품질 향상을 위해 채워야 할 기술적 차이를 찾기 위해 팀의 기술력을 면밀히 평가한다. D. 팀이 근본 원인을 분석하고 해결책을 제안하는 데 집중하도록 다음 회고 회의를 진행한다.",D,"애자일 환경에서 발생한 품질 문제에 대한 가장 효과적이고 우선적인 대응은 팀 스스로 문제의 근본 원인을 분석하고 해결책을 찾도록 하는 것입니다. 회고 회의는 팀원들이 개방적으로 소통하고 개선 방안을 도출하는 데 중요한 역할을 합니다.  외부 컨설팅이나 인센티브 프로그램, 팀원의 기술 평가는 회고를 통해 근본 원인을 파악하고 팀의 자발적인 개선을 유도한 후에 고려할 수 있는  사항입니다.  PMBOK에서 강조하는 지속적인 개선(Continuous Improvement) 원칙에 따라 회고를 통해 팀 스스로 문제를 해결하고 학습하는 것이 가장 중요합니다."
63,A key project stakeholder has started to escalate all issues and main requirements to the project sponsor. The project manager is concerned about the team not receiving direct communications from this stakeholder. Which two actions should the project manager take to improve the relationship with the stakeholder? (Choose two.) A. Provide training to the team on emotional intelligence and status reporting techniques B. Promote an adaptive and transparent environment where the team can easily communicate with the stakeholders C. Share weekly status reports with detailed information about the project and team performance D. Submit performance reports and task assignments to keep the stakeholder informed E. Schedule regular meetings with the key stakeholder to provide updates and receive feedback,"프로젝트의 핵심 이해관계자가 모든 이슈와 주요 요구사항을 프로젝트 후원자에게 보고하기 시작했습니다. 프로젝트 관리자는 팀이 이 이해관계자로부터 직접적인 소통을 받지 못하는 것에 대해 우려하고 있습니다. 프로젝트 관리자는 이해관계자와의 관계를 개선하기 위해 어떤 두 가지 조치를 취해야 합니까? (두 가지를 선택하십시오.) A. 팀에게 감성 지능 및 상태 보고 기법에 대한 교육을 제공합니다. B. 팀이 이해관계자와 쉽게 소통할 수 있는 적응적이고 투명한 환경을 조성합니다. C. 프로젝트 및 팀 성과에 대한 자세한 정보가 포함된 주간 상태 보고서를 공유합니다. D. 이해관계자에게 정보를 제공하기 위해 성과 보고서 및 작업 할당을 제출합니다. E. 주요 이해관계자와 정기적인 회의를 예약하여 업데이트를 제공하고 피드백을 받습니다. , E","B, E","이해관계자와의 효과적인 소통 및 관계 관리는 프로젝트 성공의 핵심입니다. B는 팀과 이해관계자 간의 직접적인 소통을 가능하게 하는 투명한 환경 조성을 통해 문제 상황을 해결합니다.  E는 정기적인 회의를 통해 이해관계자의 참여를 유지하고, 직접적인 정보 교환 및 피드백 수렴을 통해 관계를 강화하며, 프로젝트 후원자에게만 보고하는 현재 상황을 개선하는 데 도움이 됩니다.  PMBOK에서 강조하는 이해관계자 관리의 핵심은 효과적인 소통과 참여입니다."
64,"A project manager is leading a multiyear project that involves internal and external stakeholders. As the project manager begins to gather requirements, additional business stakeholders express interest in being involved. Which three actions should the project manager take to ensure proper stakeholder involvement? (Choose three.) A. Prioritize stakeholders based on the project phase and need B. Perform a stakeholder assessment to align with the project objectives C. Classify and rank stakeholders based on their positions in the organization D. Include all stakeholders in the stakeholder engagement plan and provide the same level of communication E. Develop a stakeholder impact/inuence matrix to determine the level of engagement","프로젝트 매니저는 내외부 이해관계자가 참여하는 다년간의 프로젝트를 이끌고 있습니다. 프로젝트 매니저가 요구사항 수집을 시작하면서 추가적인 비즈니스 이해관계자들이 참여 의사를 표명했습니다. 적절한 이해관계자 참여를 보장하기 위해 프로젝트 매니저가 취해야 할 세 가지 조치는 무엇입니까? (세 가지를 선택하십시오.) A. 프로젝트 단계 및 필요에 따라 이해관계자의 우선순위를 지정합니다. B. 프로젝트 목표에 맞춰 이해관계자 평가를 수행합니다. C. 조직 내 직책을 기준으로 이해관계자를 분류하고 순위를 매깁니다. D. 모든 이해관계자를 이해관계자 참여 계획에 포함하고 동일한 수준의 의사소통을 제공합니다. E. 참여 수준을 결정하기 위해 이해관계자 영향/영향력 매트릭스를 개발합니다. , B, E","A, B, E","이해관계자 관리는 프로젝트 성공에 매우 중요합니다. A는 프로젝트 단계 및 필요에 따라 우선순위를 정하는 것이 효율적인 자원 관리에 필수적임을 나타냅니다. B는 프로젝트 목표와 이해관계자의 목표를 일치시키는 것이 중요함을 강조합니다. E는 이해관계자 영향/영향력 매트릭스를 사용하여 적절한 참여 전략을 개발하는 것이 효과적인 이해관계자 관리의 핵심 요소임을 보여줍니다. C는 조직 내 직책만을 기준으로 분류하는 것은 프로젝트 관련성을 고려하지 않으므로 적절하지 않습니다. D는 모든 이해관계자에게 동일한 수준의 의사소통을 제공하는 것은 비효율적이며 상황에 맞는 의사소통의 중요성을 간과합니다.  PMBOK에서 강조하는 이해관계자 분석, 참여 계획 수립 및 효과적인 의사소통 관리가 핵심 개념입니다."
65,"In the initiating phase of a project, the project manager and team members are prioritizing the product backlog along with the product owner. What should the project manager do next? A. Produce a value-added product for the customer in each phase of the project. B. Produce a value-added product for the customer as continuously as possible. C. Produce a value-added product for the customer in the beginning of the project. D. Produce a value-added product along with the supporting documentation.",프로젝트 시작 단계에서 프로젝트 관리자와 팀원들은 제품 책임자와 함께 제품 백로그의 우선순위를 정하고 있습니다. 프로젝트 관리자는 다음에 무엇을 해야 합니까? A. 프로젝트의 각 단계에서 고객에게 가치를 더하는 제품을 생성해야 합니다. B. 가능한 한 지속적으로 고객에게 가치를 더하는 제품을 생성해야 합니다. C. 프로젝트 시작 시 고객에게 가치를 더하는 제품을 생성해야 합니다. D. 지원 문서와 함께 가치를 더하는 제품을 생성해야 합니다.,B,"애자일 방법론에서는 각 스프린트(반복)마다 가치 있는 제품을 만들어 제공하는 것을 중요시합니다. 제품 백로그 우선순위 설정은 일반적으로 애자일 방식에서 이루어지며, 질문에서 시작 단계에 있다는 것은 첫 번째 스프린트를 계획하는 단계임을 암시합니다.  PMBOK에서도 점진적 생명주기(incremental lifecycle)를 통해 각 단계(phase)마다 가치 있는 결과물을 전달하는 것을 강조합니다. 따라서 각 단계에서 고객에게 가치를 더하는 제품을 생성하는 것이 가장 적합한 답변입니다.  B는 애자일의 핵심 가치이지만 질문의 맥락상 각 단계의 중요성을 강조하는 A가 더 적절합니다."
66,"A project manager is overseeing a project as part of a program geared toward a major technology disruption. The team is comprised of brilliant young professionals who have worked on different projects for the organization in the past. However, the team complained that they previously experienced a lack of direction during project execution and are afraid of the same issue in this project. Which two actions should the project manager take to ensure that this issue does not occur in this project? (Choose two.) A. Organize a team-bonding activity and invite an external manager to speak to the team. B. Set a clear vision for the project and ensure it is visible to all stakeholders. C. Focus on the resource management plan and track project progress. D. Encourage the team to do a brainstorming session and provide a mitigation plan. E. Keep the team engaged and focused on the project's direction.","프로젝트 관리자는 주요 기술 혁신을 목표로 하는 프로그램의 일부인 프로젝트를 감독하고 있습니다. 팀은 과거에 조직에서 다양한 프로젝트를 수행했던 뛰어난 젊은 전문가들로 구성되어 있습니다. 그러나 팀원들은 이전 프로젝트 실행 과정에서 방향성 부족을 경험했으며 이번 프로젝트에서도 같은 문제가 발생할까 봐 우려하고 있습니다. 이 문제가 이번 프로젝트에서 발생하지 않도록 프로젝트 관리자가 취해야 할 두 가지 조치는 무엇입니까? (두 가지를 선택하십시오.) A. 팀 결속 활동을 조직하고 외부 관리자를 초대하여 팀에게 강연을 부탁합니다. B. 프로젝트에 대한 명확한 비전을 설정하고 모든 이해관계자가 볼 수 있도록 합니다. C. 자원 관리 계획에 집중하고 프로젝트 진행 상황을 추적합니다. D. 팀이 브레인스토밍 세션을 통해 위험 완화 계획을 수립하도록 장려합니다. , E","B, E","과거 프로젝트에서 팀이 방향성 부족을 경험했다는 문제점을 해결하기 위해서는 명확한 비전 제시와 팀의 지속적인 참여 및 방향 유지가 중요합니다. B는 프로젝트 비전을 명확히 하고 모든 이해관계자에게 공유하여 팀에게 방향성을 제시하는 것을 의미합니다. E는 팀이 프로젝트 방향에 집중하고 참여를 유지하도록 하여, 방향성을 잃지 않고 목표를 향해 나아가도록 돕는 것을 의미합니다.  이 두 가지는 PMBOK에서 프로젝트 통합 관리 및 이해관계자 관리의 핵심 요소이며, 팀의 방향성 부족 문제를 해결하는 데 직접적인 영향을 미칩니다."
67,"Due to organizational changes, several key stakeholders are replaced by new ones in the middle of a project. As a result, numerous new requirements are raised. What should the project manager do to ensure success of the project? A. Review and prioritize new requirements with stakeholders to determine which change requests are needed. B. Seek immediate approval to amend the project timeline and budget in order to deliver all new requirements. C. Escalate the issue to the project sponsor and seek support to keep the original requirements. D. Emphasize to the new stakeholders that new requirements are not allowed at this stage of the project.",프로젝트 진행 중 조직 변경으로 인해 여러 주요 이해관계자가 새로운 사람으로 교체되었습니다. 결과적으로 많은 새로운 요구사항이 발생했습니다. 프로젝트 성공을 보장하기 위해 프로젝트 관리자는 무엇을 해야 합니까? A. 이해관계자와 함께 새로운 요구사항을 검토하고 우선순위를 정하여 어떤 변경 요청이 필요한지 결정합니다. B. 모든 새로운 요구사항을 전달하기 위해 프로젝트 일정 및 예산 수정 승인을 즉시 요청합니다. C. 프로젝트 후원자에게 문제를 보고하고 원래 요구사항을 유지하기 위한 지원을 요청합니다. D. 새로운 이해관계자에게 프로젝트의 이 단계에서는 새로운 요구사항이 허용되지 않는다는 것을 강조합니다.,A,"이해관계자 변경으로 인한 새로운 요구사항 발생 시, PMBOK의 통합 변경 관리 프로세스에 따라 변경 요청을 접수하고, 영향 분석 후 우선순위를 결정하여 승인 여부를 검토해야 합니다. A는 이러한 프로세스를 가장 잘 반영하고 있습니다.  B는 모든 요구사항을 수용하는 것처럼 보이며, C는 변경 관리 프로세스를 따르지 않고, D는 새로운 이해관계자와의 협력을 저해할 수 있습니다. 따라서 변경 관리 절차에 따라 이해관계자와 협력하여 새로운 요구사항을 검토하고 우선순위를 정하는 A가 가장 적절한 답변입니다."
68,One phase of a project took much longer than initially anticipated. The key stakeholders expressed their concern regarding a potential project delay. What should the project manager do? A. Request additional contingency from the sponsor B. Add more oat to the overall project schedule C. Expedite the next phase to reduce slippage D. Organize a root cause analysis (RCA) workshop,프로젝트의 한 단계가 예상보다 훨씬 오래 걸렸습니다. 주요 이해관계자들은 잠재적인 프로젝트 지연에 대한 우려를 표명했습니다. 프로젝트 관리자는 무엇을 해야 합니까? A. 스폰서에게 추가 예비비를 요청합니다. B. 전체 프로젝트 일정에 더 많은 여유 시간을 추가합니다. C. 지연을 줄이기 위해 다음 단계를 신속하게 처리합니다. D. 근본 원인 분석(RCA) 워크숍을 조직합니다.,D,"프로젝트 지연의 근본 원인을 파악하는 것이 첫 번째 단계입니다.  추가 예비비 요청, 여유 시간 추가, 다음 단계 신속 처리는 근본 원인 분석 없이는 적절한 해결책이 될 수 없으며, 오히려 문제를 악화시키거나 숨길 수 있습니다.  PMBOK에서 강조하는 위험 관리 프로세스 중 하나인 근본 원인 분석(RCA)을 통해 지연의 원인을 정확히 파악하고, 재발 방지 및 향후 프로젝트 관리에 대한 교훈을 얻을 수 있습니다. 따라서 D가 가장 적절한 답변입니다."
69,"An agile team is working on a project that will be launched in six countries. Each country has specic requirements in addition to the base offering. The estimates indicate it will take six months to develop the base offering and an additional month to nalize each country's unique requirements. The expected revenue for the product is the same for each country. Which release strategy should the project manager recommend? A. An iterative-based strategy to maximize value by releasing the product to each country as it is nalized and ready for release in that country B. A nancial-based strategy to reduce the roll-out effort and costs by planning a single, bundled release to all countries at the same time C. A risk-based strategy to maximize the perceived value of the product by launching it to the countries with the lowest technical complexity D. A quality-based strategy to maximize post-market adoption by releasing the product to the countries with the lowest probability of reporting eld issues","프로젝트는 6개 국가에서 출시될 예정이며, 각 국가는 기본 제공 기능 외에 특정 요구사항을 가지고 있습니다. 기본 제공 기능을 개발하는 데 6개월이 소요되고 각 국가의 고유한 요구사항을 완료하는 데 1개월이 추가로 소요될 것으로 예상됩니다. 제품의 예상 수익은 각 국가에서 동일합니다. 프로젝트 관리자는 어떤 출시 전략을 권장해야 합니까? A. 각 국가별 제품이 완성되고 출시 준비가 되는 즉시 해당 국가에 제품을 출시하여 가치를 극대화하는 반복 기반 전략 B. 모든 국가에 동시에 단일 번들 출시를 계획하여 출시 노력과 비용을 줄이는 재정 기반 전략 C. 기술적 복잡성이 가장 낮은 국가에 제품을 출시하여 제품의 인지된 가치를 극대화하는 위험 기반 전략 D. 현장 문제 보고 확률이 가장 낮은 국가에 제품을 출시하여 시장 출시 후 채택률을 극대화하는 품질 기반 전략",A,"각 국가의 요구사항이 완료되는 즉시 출시하는 반복적 접근 방식은 가치를 극대화합니다.  각 국가별 출시를 통해  빠른 시장 진출이 가능해지고,  각 국가에서 발생하는 수익을 조기에 확보할 수 있습니다. 모든 국가에 대한 개발이 완료될 때까지 기다리는 것보다  반복적인 출시는 더 빠른 투자 회수를 가능하게 합니다. 이는 PMBOK에서 강조하는 점진적/반복적 라이프 사이클의 핵심 원칙과 일치합니다."
